"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value","Flag and Footnotes"
"2010","Slovenia","Total","Total","Employed persons","Real estate activities","Hour","39.4","u"
"2010","Slovenia","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","39.6",""
"2010","Slovenia","Total","Total","Employed persons","Administrative and support service activities","Hour","38.9",""
"2010","Slovenia","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","39.8",""
"2010","Slovenia","Total","Total","Employed persons","Education","Hour","38.6",""
"2010","Slovenia","Total","Total","Employed persons","Human health and social work activities","Hour","39.8",""
"2010","Slovenia","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","35.9",""
"2010","Slovenia","Total","Total","Employed persons","Other service activities","Hour","38.8",""
"2010","Slovenia","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":","u"
"2010","Slovenia","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":",""
"2010","Slovenia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.4",""
"2010","Slovenia","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","39.8",""
"2010","Slovenia","Males","Total","Employed persons","Mining and quarrying","Hour","40.1","u"
"2010","Slovenia","Males","Total","Employed persons","Manufacturing","Hour","40.4",""
"2010","Slovenia","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","40.4",""
"2010","Slovenia","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","40.9",""
"2010","Slovenia","Males","Total","Employed persons","Construction","Hour","42.2",""
"2010","Slovenia","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","40.5",""
"2010","Slovenia","Males","Total","Employed persons","Transportation and storage","Hour","40.7",""
"2010","Slovenia","Males","Total","Employed persons","Accommodation and food service activities","Hour","39.6",""
"2010","Slovenia","Males","Total","Employed persons","Information and communication","Hour","39.2",""
"2010","Slovenia","Males","Total","Employed persons","Financial and insurance activities","Hour","42.4",""
"2010","Slovenia","Males","Total","Employed persons","Real estate activities","Hour","40.2","u"
"2010","Slovenia","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","41.2",""
"2010","Slovenia","Males","Total","Employed persons","Administrative and support service activities","Hour","40.8",""
"2010","Slovenia","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","40.3",""
"2010","Slovenia","Males","Total","Employed persons","Education","Hour","38.7",""
"2010","Slovenia","Males","Total","Employed persons","Human health and social work activities","Hour","40.6",""
"2010","Slovenia","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","37.9",""
"2010","Slovenia","Males","Total","Employed persons","Other service activities","Hour","41.4",""
"2010","Slovenia","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":",""
"2010","Slovenia","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":",""
"2010","Slovenia","Females","Total","Employed persons","Total - all NACE activities","Hour","38.1",""
"2010","Slovenia","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","35.8",""
"2010","Slovenia","Females","Total","Employed persons","Mining and quarrying","Hour",":","u"
"2010","Slovenia","Females","Total","Employed persons","Manufacturing","Hour","38.9",""
"2010","Slovenia","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","38.5","u"
"2010","Slovenia","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","40.2","u"
"2010","Slovenia","Females","Total","Employed persons","Construction","Hour","38.1",""
"2010","Slovenia","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","38.0",""
"2010","Slovenia","Females","Total","Employed persons","Transportation and storage","Hour","39.1",""
"2010","Slovenia","Females","Total","Employed persons","Accommodation and food service activities","Hour","36.1",""
"2010","Slovenia","Females","Total","Employed persons","Information and communication","Hour","35.9",""
"2010","Slovenia","Females","Total","Employed persons","Financial and insurance activities","Hour","39.9",""
"2010","Slovenia","Females","Total","Employed persons","Real estate activities","Hour","38.7","u"
"2010","Slovenia","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","38.0",""
"2010","Slovenia","Females","Total","Employed persons","Administrative and support service activities","Hour","37.0",""
"2010","Slovenia","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","39.3",""
"2010","Slovenia","Females","Total","Employed persons","Education","Hour","38.5",""
"2010","Slovenia","Females","Total","Employed persons","Human health and social work activities","Hour","39.6",""
"2010","Slovenia","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","34.0",""
"2010","Slovenia","Females","Total","Employed persons","Other service activities","Hour","37.8",""
"2010","Slovenia","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":","u"
"2010","Slovenia","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":",""
"2010","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.3",""
"2010","Sweden","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","41.0",""
"2010","Sweden","Total","Total","Employed persons","Mining and quarrying","Hour","39.1",""
"2010","Sweden","Total","Total","Employed persons","Manufacturing","Hour","38.2",""
"2010","Sweden","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","38.3",""
"2010","Sweden","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","38.6",""
"2010","Sweden","Total","Total","Employed persons","Construction","Hour","39.9",""
"2010","Sweden","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","35.5",""
"2010","Sweden","Total","Total","Employed persons","Transportation and storage","Hour","37.6",""
"2010","Sweden","Total","Total","Employed persons","Accommodation and food service activities","Hour","33.7",""
"2010","Sweden","Total","Total","Employed persons","Information and communication","Hour","38.5",""
"2010","Sweden","Total","Total","Employed persons","Financial and insurance activities","Hour","36.9",""
"2010","Sweden","Total","Total","Employed persons","Real estate activities","Hour","36.0",""
"2010","Sweden","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","37.2",""
"2010","Sweden","Total","Total","Employed persons","Administrative and support service activities","Hour","35.2",""
"2010","Sweden","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","37.1",""
"2010","Sweden","Total","Total","Employed persons","Education","Hour","36.5",""
"2010","Sweden","Total","Total","Employed persons","Human health and social work activities","Hour","33.5",""
"2010","Sweden","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","31.4",""
"2010","Sweden","Total","Total","Employed persons","Other service activities","Hour","33.7",""
"2010","Sweden","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":","u"
"2010","Sweden","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","37.6","u"
"2010","Sweden","Males","Total","Employed persons","Total - all NACE activities","Hour","38.4",""
"2010","Sweden","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","43.0",""
"2010","Sweden","Males","Total","Employed persons","Mining and quarrying","Hour","39.7",""
"2010","Sweden","Males","Total","Employed persons","Manufacturing","Hour","38.9",""
"2010","Sweden","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","38.5",""
"2010","Sweden","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","39.4",""
"2010","Sweden","Males","Total","Employed persons","Construction","Hour","40.3",""
"2010","Sweden","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","38.4",""
"2010","Sweden","Males","Total","Employed persons","Transportation and storage","Hour","38.6",""
"2010","Sweden","Males","Total","Employed persons","Accommodation and food service activities","Hour","36.9",""
"2010","Sweden","Males","Total","Employed persons","Information and communication","Hour","39.3",""
"2010","Sweden","Males","Total","Employed persons","Financial and insurance activities","Hour","37.6",""
"2010","Sweden","Males","Total","Employed persons","Real estate activities","Hour","36.3",""
"2010","Sweden","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","38.6",""
"2010","Sweden","Males","Total","Employed persons","Administrative and support service activities","Hour","36.6",""
"2010","Sweden","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","38.2",""
"2010","Sweden","Males","Total","Employed persons","Education","Hour","37.8",""
"2010","Sweden","Males","Total","Employed persons","Human health and social work activities","Hour","35.0",""
"2010","Sweden","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","33.9",""
"2010","Sweden","Males","Total","Employed persons","Other service activities","Hour","35.4",""
"2010","Sweden","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":","c"
"2010","Sweden","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":","u"
"2010","Sweden","Females","Total","Employed persons","Total - all NACE activities","Hour","34.0",""
"2010","Sweden","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","33.8",""
"2010","Sweden","Females","Total","Employed persons","Mining and quarrying","Hour","35.7","u"
"2010","Sweden","Females","Total","Employed persons","Manufacturing","Hour","36.0",""
"2010","Sweden","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","37.9",""
"2010","Sweden","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","34.8",""
"2010","Sweden","Females","Total","Employed persons","Construction","Hour","35.0",""
"2010","Sweden","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","31.6",""
"2010","Sweden","Females","Total","Employed persons","Transportation and storage","Hour","34.2",""
"2010","Sweden","Females","Total","Employed persons","Accommodation and food service activities","Hour","30.8",""
"2010","Sweden","Females","Total","Employed persons","Information and communication","Hour","36.6",""
"2010","Sweden","Females","Total","Employed persons","Financial and insurance activities","Hour","36.2",""
"2010","Sweden","Females","Total","Employed persons","Real estate activities","Hour","35.3",""
"2010","Sweden","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","35.0",""
"2010","Sweden","Females","Total","Employed persons","Administrative and support service activities","Hour","33.7",""
"2010","Sweden","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","36.2",""
"2010","Sweden","Females","Total","Employed persons","Education","Hour","35.9",""
"2010","Sweden","Females","Total","Employed persons","Human health and social work activities","Hour","33.2",""
"2010","Sweden","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","28.9",""
"2010","Sweden","Females","Total","Employed persons","Other service activities","Hour","32.6",""
"2010","Sweden","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":","u"
"2010","Sweden","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":","u"
"2010","United Kingdom","Total","Total","Employed persons","Total - all NACE activities","Hour","36.4",""
"2010","United Kingdom","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","48.8",""
"2010","United Kingdom","Total","Total","Employed persons","Mining and quarrying","Hour","50.0",""
"2010","United Kingdom","Total","Total","Employed persons","Manufacturing","Hour","40.9",""
"2010","United Kingdom","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","40.3",""
"2010","United Kingdom","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","41.5",""
"2010","United Kingdom","Total","Total","Employed persons","Construction","Hour","41.8",""
"2010","United Kingdom","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","33.1",""
"2010","United Kingdom","Total","Total","Employed persons","Transportation and storage","Hour","40.9",""
"2010","United Kingdom","Total","Total","Employed persons","Accommodation and food service activities","Hour","30.7",""
"2010","United Kingdom","Total","Total","Employed persons","Information and communication","Hour","40.4",""
"2010","United Kingdom","Total","Total","Employed persons","Financial and insurance activities","Hour","39.4",""
"2010","United Kingdom","Total","Total","Employed persons","Real estate activities","Hour","35.5",""
"2010","United Kingdom","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","38.6",""
"2010","United Kingdom","Total","Total","Employed persons","Administrative and support service activities","Hour","35.0",""
"2010","United Kingdom","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","37.7",""
"2010","United Kingdom","Total","Total","Employed persons","Education","Hour","32.9",""
"2010","United Kingdom","Total","Total","Employed persons","Human health and social work activities","Hour","33.4",""
"2010","United Kingdom","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","31.7",""
"2010","United Kingdom","Total","Total","Employed persons","Other service activities","Hour","34.0",""
"2010","United Kingdom","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","25.7",""
"2010","United Kingdom","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","41.4",""
"2010","United Kingdom","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0",""
"2010","United Kingdom","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","53.4",""
"2010","United Kingdom","Males","Total","Employed persons","Mining and quarrying","Hour","52.3",""
"2010","United Kingdom","Males","Total","Employed persons","Manufacturing","Hour","42.6",""
"2010","United Kingdom","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","42.0",""
"2010","United Kingdom","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","42.8",""
"2010","United Kingdom","Males","Total","Employed persons","Construction","Hour","43.1",""
"2010","United Kingdom","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","38.3",""
"2010","United Kingdom","Males","Total","Employed persons","Transportation and storage","Hour","42.8",""
"2010","United Kingdom","Males","Total","Employed persons","Accommodation and food service activities","Hour","35.3",""
"2010","United Kingdom","Males","Total","Employed persons","Information and communication","Hour","42.4",""
"2010","United Kingdom","Males","Total","Employed persons","Financial and insurance activities","Hour","43.4",""
"2010","United Kingdom","Males","Total","Employed persons","Real estate activities","Hour","39.8",""
"2010","United Kingdom","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","42.3",""
"2010","United Kingdom","Males","Total","Employed persons","Administrative and support service activities","Hour","39.6",""
"2010","United Kingdom","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","41.1",""
"2010","United Kingdom","Males","Total","Employed persons","Education","Hour","37.6",""
"2010","United Kingdom","Males","Total","Employed persons","Human health and social work activities","Hour","38.3",""
"2010","United Kingdom","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","35.6",""
"2010","United Kingdom","Males","Total","Employed persons","Other service activities","Hour","40.2",""
"2010","United Kingdom","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","30.8",""
"2010","United Kingdom","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","44.3",""
"2010","United Kingdom","Females","Total","Employed persons","Total - all NACE activities","Hour","31.2",""
"2010","United Kingdom","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","33.9",""
"2010","United Kingdom","Females","Total","Employed persons","Mining and quarrying","Hour","36.7",""
"2010","United Kingdom","Females","Total","Employed persons","Manufacturing","Hour","35.3",""
"2010","United Kingdom","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","35.3",""
"2010","United Kingdom","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","35.4",""
"2010","United Kingdom","Females","Total","Employed persons","Construction","Hour","30.9",""
"2010","United Kingdom","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","27.3",""
"2010","United Kingdom","Females","Total","Employed persons","Transportation and storage","Hour","33.7",""
"2010","United Kingdom","Females","Total","Employed persons","Accommodation and food service activities","Hour","26.7",""
"2010","United Kingdom","Females","Total","Employed persons","Information and communication","Hour","35.4",""
"2010","United Kingdom","Females","Total","Employed persons","Financial and insurance activities","Hour","34.8",""
"2010","United Kingdom","Females","Total","Employed persons","Real estate activities","Hour","32.1",""
"2010","United Kingdom","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","33.5",""
"2010","United Kingdom","Females","Total","Employed persons","Administrative and support service activities","Hour","29.5",""
"2010","United Kingdom","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","34.2",""
"2010","United Kingdom","Females","Total","Employed persons","Education","Hour","31.0",""
"2010","United Kingdom","Females","Total","Employed persons","Human health and social work activities","Hour","32.1",""
"2010","United Kingdom","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","27.6",""
"2010","United Kingdom","Females","Total","Employed persons","Other service activities","Hour","29.9",""
"2010","United Kingdom","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","23.7",""
"2010","United Kingdom","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","37.6",""
"2010","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.2","b"
"2010","Switzerland","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","44.9","b"
"2010","Switzerland","Total","Total","Employed persons","Mining and quarrying","Hour","40.4","bu"
"2010","Switzerland","Total","Total","Employed persons","Manufacturing","Hour","38.8","b"
"2010","Switzerland","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","38.8","b"
"2010","Switzerland","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","38.9","b"
"2010","Switzerland","Total","Total","Employed persons","Construction","Hour","39.8","b"
"2010","Switzerland","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","35.5","b"
"2010","Switzerland","Total","Total","Employed persons","Transportation and storage","Hour","37.2","b"
"2010","Switzerland","Total","Total","Employed persons","Accommodation and food service activities","Hour","35.2","b"
"2010","Switzerland","Total","Total","Employed persons","Information and communication","Hour","36.8","b"
"2010","Switzerland","Total","Total","Employed persons","Financial and insurance activities","Hour","37.9","b"
"2010","Switzerland","Total","Total","Employed persons","Real estate activities","Hour","29.5","b"
"2010","Switzerland","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","36.0","b"
"2010","Switzerland","Total","Total","Employed persons","Administrative and support service activities","Hour","33.5","b"
"2010","Switzerland","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","35.4","b"
"2010","Switzerland","Total","Total","Employed persons","Education","Hour","29.8","b"
"2010","Switzerland","Total","Total","Employed persons","Human health and social work activities","Hour","31.4","b"
"2010","Switzerland","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","29.6","b"
"2010","Switzerland","Total","Total","Employed persons","Other service activities","Hour","31.0","b"
"2010","Switzerland","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","15.9","b"
"2010","Switzerland","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","36.0","b"
"2010","Switzerland","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5","b"
"2010","Switzerland","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","51.1","b"
"2010","Switzerland","Males","Total","Employed persons","Mining and quarrying","Hour","41.8","bu"
"2010","Switzerland","Males","Total","Employed persons","Manufacturing","Hour","41.0","b"
"2010","Switzerland","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","41.1","b"
"2010","Switzerland","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","42.4","b"
"2010","Switzerland","Males","Total","Employed persons","Construction","Hour","41.7","b"
"2010","Switzerland","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","40.9","b"
"2010","Switzerland","Males","Total","Employed persons","Transportation and storage","Hour","40.5","b"
"2010","Switzerland","Males","Total","Employed persons","Accommodation and food service activities","Hour","40.5","b"
"2010","Switzerland","Males","Total","Employed persons","Information and communication","Hour","39.4","b"
"2010","Switzerland","Males","Total","Employed persons","Financial and insurance activities","Hour","40.6","b"
"2010","Switzerland","Males","Total","Employed persons","Real estate activities","Hour","37.5","b"
"2010","Switzerland","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","40.4","b"
"2010","Switzerland","Males","Total","Employed persons","Administrative and support service activities","Hour","39.8","b"
"2010","Switzerland","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","39.6","b"
"2010","Switzerland","Males","Total","Employed persons","Education","Hour","35.4","b"
"2010","Switzerland","Males","Total","Employed persons","Human health and social work activities","Hour","39.0","b"
"2010","Switzerland","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","37.1","b"
"2010","Switzerland","Males","Total","Employed persons","Other service activities","Hour","37.3","b"
"2010","Switzerland","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","24.4","b"
"2010","Switzerland","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","40.1","bu"
"2010","Switzerland","Females","Total","Employed persons","Total - all NACE activities","Hour","28.9","b"
"2010","Switzerland","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","33.2","b"
"2010","Switzerland","Females","Total","Employed persons","Mining and quarrying","Hour",":","bu"
"2010","Switzerland","Females","Total","Employed persons","Manufacturing","Hour","32.6","b"
"2010","Switzerland","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","29.0","bu"
"2010","Switzerland","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","27.0","bu"
"2010","Switzerland","Females","Total","Employed persons","Construction","Hour","24.1","b"
"2010","Switzerland","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","30.0","b"
"2010","Switzerland","Females","Total","Employed persons","Transportation and storage","Hour","29.0","b"
"2010","Switzerland","Females","Total","Employed persons","Accommodation and food service activities","Hour","31.3","b"
"2010","Switzerland","Females","Total","Employed persons","Information and communication","Hour","30.8","b"
"2010","Switzerland","Females","Total","Employed persons","Financial and insurance activities","Hour","33.9","b"
"2010","Switzerland","Females","Total","Employed persons","Real estate activities","Hour","23.4","b"
"2010","Switzerland","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","29.4","b"
"2010","Switzerland","Females","Total","Employed persons","Administrative and support service activities","Hour","25.2","b"
"2010","Switzerland","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","30.1","b"
"2010","Switzerland","Females","Total","Employed persons","Education","Hour","26.4","b"
"2010","Switzerland","Females","Total","Employed persons","Human health and social work activities","Hour","29.0","b"
"2010","Switzerland","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","23.6","b"
"2010","Switzerland","Females","Total","Employed persons","Other service activities","Hour","28.2","b"
"2010","Switzerland","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","14.2","b"
"2010","Switzerland","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","32.9","bu"
"2010","Montenegro","Total","Total","Employed persons","Total - all NACE activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Mining and quarrying","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Manufacturing","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Construction","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Transportation and storage","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Accommodation and food service activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Information and communication","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Financial and insurance activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Real estate activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Professional, scientific and technical activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Administrative and support service activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Education","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Human health and social work activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Arts, entertainment and recreation","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Other service activities","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":",""
"2010","Montenegro","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Total - all NACE activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Mining and quarrying","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Manufacturing","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Construction","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Transportation and storage","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Accommodation and food service activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Information and communication","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Financial and insurance activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Real estate activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Professional, scientific and technical activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Administrative and support service activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Education","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Human health and social work activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Arts, entertainment and recreation","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Other service activities","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour",":",""
"2010","Montenegro","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Total - all NACE activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Mining and quarrying","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Manufacturing","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Construction","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Transportation and storage","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Accommodation and food service activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Information and communication","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Financial and insurance activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Real estate activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Professional, scientific and technical activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Administrative and support service activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Education","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Human health and social work activities","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Arts, entertainment and recreation","Hour",":",""
"2010","Montenegro","Females","Total","Employed persons","Other service activities","Hour",":",""
